NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:15:15
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
740	7.39000	25.241
741	7.40000	23.627
742	7.41000	21.905
743	7.42000	20.275
744	7.43000	18.755
745	7.44000	17.355
746	7.45000	16.118
747	7.46000	15.110
748	7.47000	14.170
749	7.48000	13.339
750	7.49000	12.606
751	7.50000	11.730
752	7.51000	10.799
753	7.52000	9.833
754	7.53000	8.760
755	7.54000	7.625
756	7.55000	6.520
757	7.56000	5.497
758	7.57000	4.488
759	7.58000	3.767
760	7.59000	3.270
761	7.60000	2.787
762	7.61000	2.685
763	7.62000	2.887
764	7.63000	3.086
765	7.64000	3.159
766	7.65000	2.986
767	7.66000	2.352
768	7.67000	1.373
769	7.68000	0.418
770	7.69000	-0.633
771	7.70000	-1.673
772	7.71000	-2.381
773	7.72000	-2.796
774	7.73000	-2.958
775	7.74000	-3.043
776	7.75000	-3.143
777	7.76000	-3.371
778	7.77000	-3.735
779	7.78000	-4.098
780	7.79000	-4.549
781	7.80000	-5.189
782	7.81000	-6.119
783	7.82000	-7.107
784	7.83000	-8.020
785	7.84000	-8.964
786	7.85000	-9.848
787	7.86000	-10.719
788	7.87000	-11.592
789	7.88000	-12.303
790	7.89000	-13.061
791	7.90000	-14.069
792	7.91000	-15.270
793	7.92000	-16.616
794	7.93000	-18.272
795	7.94000	-20.290
796	7.95000	-22.523
797	7.96000	-24.795
798	7.97000	-27.085
799	7.98000	-29.343
800	7.99000	-31.534
801	8.00000	-33.697
802	8.01000	-35.698
803	8.02000	-37.590
804	8.03000	-39.358
805	8.04000	-40.898
806	8.05000	-42.148
807	8.06000	-42.831
808	8.07000	-42.876
809	8.08000	-42.241
810	8.09000	-40.788
811	8.10000	-38.593
812	8.11000	-35.819
813	8.12000	-32.852
814	8.13000	-29.737
815	8.14000	-26.524
816	8.15000	-23.318
817	8.16000	-19.818
818	8.17000	-15.818
819	8.18000	-11.444
820	8.19000	-6.694
821	8.20000	-1.532
822	8.21000	3.684
823	8.22000	8.590
824	8.23000	13.114
825	8.24000	17.193
826	8.25000	20.845
827	8.26000	24.260
828	8.27000	27.802
829	8.28000	31.771
830	8.29000	36.466
831	8.30000	42.017
832	8.31000	48.357
833	8.32000	55.075
834	8.33000	61.689
835	8.34000	67.886
836	8.35000	73.260
837	8.36000	77.647
838	8.37000	81.231
839	8.38000	84.332
840	8.39000	87.132
841	8.40000	89.604
842	8.41000	92.118
843	8.42000	94.561
844	8.43000	97.019
845	8.44000	99.619
846	8.45000	102.117
847	8.46000	104.823
848	8.47000	107.786
849	8.48000	111.248
850	8.49000	115.073
851	8.50000	118.837
852	8.51000	122.539
853	8.52000	126.059
854	8.53000	129.391
855	8.54000	132.549
856	8.55000	135.266
857	8.56000	137.616
858	8.57000	139.675
859	8.58000	141.487
860	8.59000	143.269
861	8.60000	144.837
862	8.61000	145.886
863	8.62000	146.833
864	8.63000	147.730
865	8.64000	148.506
866	8.65000	149.025
867	8.66000	149.075
868	8.67000	148.700
869	8.68000	147.680
870	8.69000	146.549
871	8.70000	145.269
872	8.71000	143.777
873	8.72000	142.659
874	8.73000	141.859
875	8.74000	141.462
876	8.75000	141.422
877	8.76000	141.964
878	8.77000	143.006
879	8.78000	144.184
880	8.79000	145.548
881	8.80000	146.649
882	8.81000	147.308
883	8.82000	147.341
884	8.83000	146.418
885	8.84000	144.427
886	8.85000	141.356
887	8.86000	137.861
888	8.87000	134.148
889	8.88000	130.245
890	8.89000	126.128
891	8.90000	121.506
892	8.91000	116.429
893	8.92000	110.815
894	8.93000	104.652
895	8.94000	98.105
896	8.95000	91.443
897	8.96000	84.584
898	8.97000	78.307
899	8.98000	73.493
900	8.99000	69.289
901	9.00000	65.055
902	9.01000	60.891
903	9.02000	56.463
904	9.03000	51.535
905	9.04000	46.292
906	9.05000	40.676
907	9.06000	34.758
908	9.07000	29.701
909	9.08000	26.410
910	9.09000	23.975
911	9.10000	22.099
912	9.11000	21.419
913	9.12000	21.653
914	9.13000	21.224
915	9.14000	20.047
916	9.15000	18.842
917	9.16000	17.669
918	9.17000	16.887
919	9.18000	16.331
920	9.19000	15.630
921	9.20000	14.828
922	9.21000	14.245
923	9.22000	13.368
924	9.23000	11.290
925	9.24000	8.662
926	9.25000	6.360
927	9.26000	4.758
928	9.27000	4.056
929	9.28000	2.813
930	9.29000	-0.628
931	9.30000	-6.234
932	9.31000	-11.721
933	9.32000	-14.504
934	9.33000	-13.866
935	9.34000	-10.733
936	9.35000	-5.640
937	9.36000	1.240
938	9.37000	8.507
939	9.38000	13.710
940	9.39000	14.717
941	9.40000	11.826
942	9.41000	7.823
943	9.42000	4.864
944	9.43000	2.565
945	9.44000	0.364
946	9.45000	-1.325
947	9.46000	-2.215
948	9.47000	-2.143
949	9.48000	-1.295
950	9.49000	-0.421
951	9.50000	0.036
952	9.51000	0.361
953	9.52000	0.748
954	9.53000	0.914
955	9.54000	0.798
956	9.55000	0.637
957	9.56000	0.589
958	9.57000	0.896
959	9.58000	1.466
960	9.59000	2.050
961	9.60000	2.590
962	9.61000	3.058
963	9.62000	3.486
964	9.63000	3.861
965	9.64000	4.099
966	9.65000	4.272
967	9.66000	4.427
968	9.67000	4.527
969	9.68000	4.442
970	9.69000	3.952
971	9.70000	3.016
972	9.71000	1.873
973	9.72000	0.846
974	9.73000	-0.058
975	9.74000	-0.735
976	9.75000	-0.933
977	9.76000	-0.695
978	9.77000	-0.075
