NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
618	6.17000	12.060
619	6.18000	9.582
620	6.19000	6.854
621	6.20000	4.010
622	6.21000	1.174
623	6.22000	-1.759
624	6.23000	-4.981
625	6.24000	-8.135
626	6.25000	-10.842
627	6.26000	-13.021
628	6.27000	-14.397
629	6.28000	-14.610
630	6.29000	-13.733
631	6.30000	-11.774
632	6.31000	-8.960
633	6.32000	-6.045
634	6.33000	-3.579
635	6.34000	-1.399
636	6.35000	0.573
637	6.36000	2.245
638	6.37000	3.710
639	6.38000	4.946
640	6.39000	5.876
641	6.40000	6.454
642	6.41000	6.453
643	6.42000	5.678
644	6.43000	4.100
645	6.44000	2.378
646	6.45000	0.865
647	6.46000	-0.363
648	6.47000	-1.065
649	6.48000	-1.394
650	6.49000	-1.463
651	6.50000	-1.243
652	6.51000	-0.940
653	6.52000	-0.820
654	6.53000	-1.042
655	6.54000	-1.361
656	6.55000	-1.560
657	6.56000	-1.696
658	6.57000	-1.773
659	6.58000	-1.714
660	6.59000	-1.409
661	6.60000	-1.016
662	6.61000	-0.682
663	6.62000	-0.514
664	6.63000	-0.552
665	6.64000	-0.655
666	6.65000	-0.749
667	6.66000	-0.888
668	6.67000	-1.098
669	6.68000	-1.130
670	6.69000	-0.959
671	6.70000	-0.993
672	6.71000	-1.188
673	6.72000	-1.411
674	6.73000	-1.563
675	6.74000	-1.617
676	6.75000	-1.442
677	6.76000	-1.100
678	6.77000	-0.760
679	6.78000	-0.356
680	6.79000	-0.096
681	6.80000	-0.085
682	6.81000	-0.024
683	6.82000	0.155
684	6.83000	0.352
685	6.84000	0.578
686	6.85000	0.914
687	6.86000	1.300
688	6.87000	1.470
689	6.88000	1.449
690	6.89000	1.253
691	6.90000	0.933
692	6.91000	0.726
693	6.92000	0.560
694	6.93000	0.346
695	6.94000	0.198
696	6.95000	0.208
697	6.96000	0.375
698	6.97000	0.502
699	6.98000	0.758
700	6.99000	0.996
701	7.00000	1.098
702	7.01000	1.437
703	7.02000	2.018
704	7.03000	2.577
705	7.04000	3.206
706	7.05000	3.820
707	7.06000	4.434
708	7.07000	5.225
709	7.08000	6.256
710	7.09000	7.545
711	7.10000	8.933
712	7.11000	10.334
713	7.12000	12.209
714	7.13000	14.053
715	7.14000	15.265
716	7.15000	16.080
717	7.16000	16.698
718	7.17000	17.336
719	7.18000	18.135
720	7.19000	19.243
721	7.20000	20.608
722	7.21000	22.462
723	7.22000	25.178
724	7.23000	28.248
725	7.24000	31.181
726	7.25000	34.498
727	7.26000	38.021
728	7.27000	41.420
729	7.28000	44.842
730	7.29000	48.226
731	7.30000	51.681
732	7.31000	55.252
733	7.32000	58.694
734	7.33000	62.142
735	7.34000	65.605
736	7.35000	69.314
737	7.36000	73.127
738	7.37000	76.548
739	7.38000	79.724
740	7.39000	82.523
741	7.40000	84.929
742	7.41000	87.442
743	7.42000	90.098
744	7.43000	92.686
745	7.44000	95.364
746	7.45000	98.179
747	7.46000	100.669
748	7.47000	102.637
749	7.48000	103.926
750	7.49000	104.427
751	7.50000	104.499
752	7.51000	105.343
753	7.52000	107.078
754	7.53000	108.782
755	7.54000	110.595
756	7.55000	112.160
757	7.56000	113.384
758	7.57000	114.473
759	7.58000	114.957
760	7.59000	114.748
761	7.60000	113.991
762	7.61000	113.927
763	7.62000	114.563
764	7.63000	115.062
765	7.64000	115.640
766	7.65000	115.947
767	7.66000	116.289
768	7.67000	116.835
769	7.68000	117.379
770	7.69000	117.745
771	7.70000	117.789
772	7.71000	118.278
773	7.72000	119.043
774	7.73000	119.651
775	7.74000	120.067
776	7.75000	119.809
777	7.76000	119.086
778	7.77000	118.157
779	7.78000	116.782
780	7.79000	115.146
781	7.80000	113.347
782	7.81000	111.704
783	7.82000	110.133
784	7.83000	108.209
785	7.84000	106.122
786	7.85000	103.124
787	7.86000	99.037
788	7.87000	94.412
789	7.88000	89.168
790	7.89000	83.908
791	7.90000	79.158
792	7.91000	75.046
793	7.92000	71.337
794	7.93000	67.798
795	7.94000	64.649
796	7.95000	61.279
797	7.96000	57.329
798	7.97000	53.199
799	7.98000	48.720
800	7.99000	44.341
801	8.00000	40.443
802	8.01000	36.016
803	8.02000	32.300
804	8.03000	30.520
805	8.04000	29.656
806	8.05000	29.495
807	8.06000	29.475
808	8.07000	29.033
809	8.08000	27.863
810	8.09000	26.108
811	8.10000	23.663
812	8.11000	19.898
813	8.12000	16.657
814	8.13000	14.536
815	8.14000	12.212
816	8.15000	9.759
817	8.16000	7.415
818	8.17000	5.325
819	8.18000	3.773
820	8.19000	3.001
821	8.20000	3.315
822	8.21000	4.583
823	8.22000	6.711
824	8.23000	9.192
825	8.24000	10.927
826	8.25000	11.343
827	8.26000	10.753
828	8.27000	9.225
829	8.28000	6.637
830	8.29000	3.299
831	8.30000	0.315
832	8.31000	-1.695
833	8.32000	-2.818
834	8.33000	-3.067
835	8.34000	-2.683
836	8.35000	-1.756
837	8.36000	-0.167
838	8.37000	1.845
839	8.38000	3.650
840	8.39000	5.367
841	8.40000	7.108
842	8.41000	8.405
843	8.42000	9.000
844	8.43000	8.704
845	8.44000	7.270
846	8.45000	5.022
847	8.46000	2.625
848	8.47000	0.367
849	8.48000	-1.613
850	8.49000	-2.747
851	8.50000	-3.254
852	8.51000	-3.700
853	8.52000	-3.963
854	8.53000	-4.217
855	8.54000	-4.483
856	8.55000	-4.533
857	8.56000	-4.114
858	8.57000	-3.289
859	8.58000	-2.046
860	8.59000	-0.366
861	8.60000	1.032
862	8.61000	1.860
863	8.62000	2.260
864	8.63000	2.272
865	8.64000	1.905
866	8.65000	1.218
867	8.66000	0.584
868	8.67000	0.131
869	8.68000	-0.096
870	8.69000	0.039
871	8.70000	0.210
872	8.71000	0.588
873	8.72000	1.366
874	8.73000	2.493
875	8.74000	3.507
876	8.75000	4.263
877	8.76000	4.869
878	8.77000	5.064
879	8.78000	4.801
880	8.79000	4.094
881	8.80000	2.898
882	8.81000	1.410
883	8.82000	0.425
884	8.83000	-0.020
885	8.84000	-0.381
886	8.85000	-0.293
887	8.86000	0.408
888	8.87000	1.387
889	8.88000	2.489
890	8.89000	3.477
891	8.90000	4.212
892	8.91000	4.799
893	8.92000	5.344
894	8.93000	5.510
895	8.94000	5.158
896	8.95000	4.410
897	8.96000	3.363
898	8.97000	2.132
899	8.98000	0.876
900	8.99000	-0.179
901	9.00000	-0.841
902	9.01000	-0.724
903	9.02000	-0.272
904	9.03000	0.347
905	9.04000	1.232
906	9.05000	1.911
907	9.06000	2.272
908	9.07000	2.355
909	9.08000	2.133
910	9.09000	1.717
911	9.10000	1.226
912	9.11000	0.751
913	9.12000	0.020
914	9.13000	-0.949
915	9.14000	-1.649
916	9.15000	-2.263
917	9.16000	-2.783
918	9.17000	-3.003
919	9.18000	-2.918
920	9.19000	-2.374
921	9.20000	-1.721
922	9.21000	-1.169
923	9.22000	-0.715
924	9.23000	-0.467
925	9.24000	-0.264
926	9.25000	-0.307
927	9.26000	-0.575
928	9.27000	-1.024
929	9.28000	-1.639
930	9.29000	-2.197
931	9.30000	-2.696
932	9.31000	-2.855
933	9.32000	-2.732
934	9.33000	-2.367
935	9.34000	-1.718
936	9.35000	-0.869
937	9.36000	0.112
938	9.37000	1.039
939	9.38000	1.961
940	9.39000	2.972
941	9.40000	3.969
942	9.41000	4.878
943	9.42000	5.425
944	9.43000	5.482
945	9.44000	5.126
946	9.45000	4.414
947	9.46000	3.583
948	9.47000	2.852
949	9.48000	2.243
950	9.49000	1.742
951	9.50000	1.409
952	9.51000	1.362
953	9.52000	1.322
954	9.53000	1.059
955	9.54000	0.701
956	9.55000	0.221
957	9.56000	-0.029
958	9.57000	-0.137
959	9.58000	-0.385
960	9.59000	-0.652
961	9.60000	-0.866
962	9.61000	-0.928
963	9.62000	-1.006
964	9.63000	-1.204
965	9.64000	-1.277
966	9.65000	-0.976
967	9.66000	-0.149
968	9.67000	0.865
969	9.68000	2.112
970	9.69000	3.509
971	9.70000	4.685
972	9.71000	5.795
973	9.72000	6.646
974	9.73000	6.967
975	9.74000	7.211
976	9.75000	7.615
977	9.76000	8.007
978	9.77000	8.233
979	9.78000	8.385
980	9.79000	8.532
981	9.80000	8.441
982	9.81000	8.258
983	9.82000	7.944
984	9.83000	7.313
985	9.84000	6.692
986	9.85000	6.213
987	9.86000	5.734
988	9.87000	5.170
989	9.88000	4.555
990	9.89000	4.068
991	9.90000	3.539
992	9.91000	3.128
993	9.92000	2.873
994	9.93000	2.398
995	9.94000	2.195
996	9.95000	2.088
997	9.96000	2.076
998	9.97000	2.160
999	9.98000	2.340
1000	9.99000	0.000
