NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:27:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KL_Angular_Velocity

Frame	Time	KL_Angular_Velocity	
965	9.64000	7.181
966	9.65000	7.340
967	9.66000	7.367
968	9.67000	7.586
969	9.68000	7.804
970	9.69000	7.856
971	9.70000	7.702
972	9.71000	7.327
973	9.72000	6.766
974	9.73000	5.935
975	9.74000	5.193
976	9.75000	4.626
977	9.76000	4.258
978	9.77000	4.425
979	9.78000	4.891
980	9.79000	5.659
981	9.80000	6.896
982	9.81000	8.429
983	9.82000	10.141
984	9.83000	11.889
985	9.84000	13.543
986	9.85000	15.028
987	9.86000	16.320
988	9.87000	17.244
989	9.88000	17.588
990	9.89000	17.422
991	9.90000	16.821
992	9.91000	15.735
993	9.92000	14.228
994	9.93000	12.461
995	9.94000	11.093
996	9.95000	9.671
997	9.96000	8.195
998	9.97000	6.665
999	9.98000	5.081
1000	9.99000	0.000
