NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
695	6.94000	-31.961
696	6.95000	-27.296
697	6.96000	-21.760
698	6.97000	-15.225
699	6.98000	-8.282
700	6.99000	-1.733
701	7.00000	4.097
702	7.01000	8.759
703	7.02000	11.789
704	7.03000	12.860
705	7.04000	11.876
706	7.05000	9.260
707	7.06000	5.867
708	7.07000	2.103
709	7.08000	-1.809
710	7.09000	-5.477
711	7.10000	-8.577
712	7.11000	-11.013
713	7.12000	-12.707
714	7.13000	-13.816
715	7.14000	-14.527
716	7.15000	-14.679
717	7.16000	-14.228
718	7.17000	-13.339
719	7.18000	-12.306
720	7.19000	-11.349
721	7.20000	-10.407
722	7.21000	-9.680
723	7.22000	-9.276
724	7.23000	-9.190
725	7.24000	-9.217
726	7.25000	-9.184
727	7.26000	-9.047
728	7.27000	-8.672
729	7.28000	-8.354
730	7.29000	-8.156
731	7.30000	-8.116
732	7.31000	-8.382
733	7.32000	-8.869
734	7.33000	-9.503
735	7.34000	-10.053
736	7.35000	-10.411
737	7.36000	-10.571
738	7.37000	-10.457
739	7.38000	-10.037
740	7.39000	-9.258
741	7.40000	-8.375
742	7.41000	-7.402
743	7.42000	-6.287
744	7.43000	-5.191
745	7.44000	-4.104
746	7.45000	-3.045
747	7.46000	-2.145
748	7.47000	-1.342
749	7.48000	-0.412
750	7.49000	0.586
751	7.50000	1.217
752	7.51000	1.675
753	7.52000	2.228
754	7.53000	2.642
755	7.54000	2.874
756	7.55000	2.964
757	7.56000	2.880
758	7.57000	2.825
759	7.58000	3.010
760	7.59000	3.167
761	7.60000	3.078
762	7.61000	3.226
763	7.62000	3.843
764	7.63000	4.441
765	7.64000	4.975
766	7.65000	5.476
767	7.66000	5.686
768	7.67000	5.605
769	7.68000	5.305
770	7.69000	4.688
771	7.70000	3.816
772	7.71000	2.926
773	7.72000	2.137
774	7.73000	1.414
775	7.74000	0.936
776	7.75000	0.803
777	7.76000	0.828
778	7.77000	0.764
779	7.78000	0.580
780	7.79000	0.367
781	7.80000	0.022
782	7.81000	-0.473
783	7.82000	-0.970
784	7.83000	-1.180
785	7.84000	-1.061
786	7.85000	-0.587
787	7.86000	0.105
788	7.87000	0.765
789	7.88000	1.597
790	7.89000	2.468
791	7.90000	3.152
792	7.91000	3.724
793	7.92000	4.149
794	7.93000	4.327
795	7.94000	4.214
796	7.95000	4.002
797	7.96000	3.823
798	7.97000	3.733
799	7.98000	3.876
800	7.99000	4.076
801	8.00000	4.209
802	8.01000	4.298
803	8.02000	4.216
