NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
778	7.77000	0.760
779	7.78000	0.416
780	7.79000	0.046
781	7.80000	-0.109
782	7.81000	-0.168
783	7.82000	-0.192
784	7.83000	-0.249
785	7.84000	-0.378
786	7.85000	-0.408
787	7.86000	-0.342
788	7.87000	-0.309
789	7.88000	-0.280
790	7.89000	-0.147
791	7.90000	0.056
792	7.91000	0.129
793	7.92000	0.123
794	7.93000	-0.058
795	7.94000	-0.310
796	7.95000	-0.705
797	7.96000	-1.374
798	7.97000	-1.935
799	7.98000	-2.284
800	7.99000	-2.598
801	8.00000	-2.948
802	8.01000	-3.503
803	8.02000	-4.201
804	8.03000	-5.016
805	8.04000	-6.456
806	8.05000	-8.825
807	8.06000	-12.597
808	8.07000	-17.473
809	8.08000	-23.561
810	8.09000	-31.427
811	8.10000	-39.654
812	8.11000	-45.726
813	8.12000	-47.793
814	8.13000	-46.157
815	8.14000	-43.003
816	8.15000	-40.223
817	8.16000	-38.667
818	8.17000	-38.375
819	8.18000	-39.927
820	8.19000	-43.478
821	8.20000	-47.224
822	8.21000	-49.153
823	8.22000	-48.296
824	8.23000	-45.289
825	8.24000	-41.808
826	8.25000	-38.921
827	8.26000	-36.249
828	8.27000	-33.696
829	8.28000	-31.361
830	8.29000	-29.215
831	8.30000	-27.279
832	8.31000	-25.590
833	8.32000	-23.748
834	8.33000	-21.639
835	8.34000	-19.857
836	8.35000	-18.603
837	8.36000	-17.376
838	8.37000	-15.747
839	8.38000	-13.643
840	8.39000	-11.312
841	8.40000	-9.381
842	8.41000	-8.095
843	8.42000	-7.558
844	8.43000	-7.613
845	8.44000	-8.018
846	8.45000	-8.577
847	8.46000	-8.537
848	8.47000	-7.534
849	8.48000	-6.081
850	8.49000	-4.483
851	8.50000	-2.678
852	8.51000	-1.800
853	8.52000	-1.457
854	8.53000	0.102
855	8.54000	2.084
856	8.55000	3.621
857	8.56000	5.010
858	8.57000	7.198
859	8.58000	10.703
860	8.59000	15.253
861	8.60000	20.991
862	8.61000	26.532
863	8.62000	31.576
864	8.63000	36.331
865	8.64000	38.488
866	8.65000	37.492
867	8.66000	34.342
868	8.67000	30.515
869	8.68000	26.977
870	8.69000	24.507
871	8.70000	25.601
872	8.71000	30.539
873	8.72000	37.108
874	8.73000	43.741
875	8.74000	48.802
876	8.75000	51.512
877	8.76000	51.873
878	8.77000	50.226
879	8.78000	47.262
880	8.79000	44.174
881	8.80000	42.931
882	8.81000	43.600
883	8.82000	44.980
884	8.83000	46.320
885	8.84000	47.169
886	8.85000	47.617
887	8.86000	47.530
888	8.87000	46.898
889	8.88000	45.751
890	8.89000	43.864
891	8.90000	41.611
892	8.91000	39.390
893	8.92000	37.297
894	8.93000	35.238
895	8.94000	33.167
896	8.95000	31.192
897	8.96000	29.062
898	8.97000	26.845
899	8.98000	24.603
900	8.99000	22.094
901	9.00000	19.410
902	9.01000	16.775
903	9.02000	14.329
904	9.03000	12.034
905	9.04000	9.963
906	9.05000	8.021
907	9.06000	6.145
908	9.07000	4.697
909	9.08000	3.530
910	9.09000	2.450
911	9.10000	1.380
912	9.11000	0.182
913	9.12000	-1.105
914	9.13000	-2.564
915	9.14000	-3.919
916	9.15000	-4.939
917	9.16000	-5.741
918	9.17000	-6.198
919	9.18000	-6.240
920	9.19000	-5.735
921	9.20000	-4.755
922	9.21000	-3.631
923	9.22000	-2.555
924	9.23000	-1.816
925	9.24000	-1.460
926	9.25000	-1.351
927	9.26000	-1.607
928	9.27000	-2.027
929	9.28000	-2.190
930	9.29000	-1.850
931	9.30000	-0.989
932	9.31000	0.091
933	9.32000	1.153
934	9.33000	1.712
935	9.34000	1.647
936	9.35000	1.223
937	9.36000	0.378
938	9.37000	-0.659
939	9.38000	-1.690
940	9.39000	-2.773
941	9.40000	-4.096
942	9.41000	-5.513
943	9.42000	-6.551
944	9.43000	-6.767
945	9.44000	-5.749
946	9.45000	-3.586
947	9.46000	-0.559
948	9.47000	2.883
949	9.48000	6.117
950	9.49000	8.532
951	9.50000	9.526
952	9.51000	9.272
953	9.52000	8.244
954	9.53000	6.842
955	9.54000	5.081
956	9.55000	2.970
957	9.56000	0.822
958	9.57000	-1.327
959	9.58000	-3.002
960	9.59000	-3.808
961	9.60000	-3.657
962	9.61000	-2.281
963	9.62000	-0.082
964	9.63000	2.225
965	9.64000	3.999
966	9.65000	4.804
967	9.66000	4.614
968	9.67000	3.404
969	9.68000	1.456
970	9.69000	-1.054
971	9.70000	-3.895
972	9.71000	-6.669
973	9.72000	-9.182
974	9.73000	-10.792
975	9.74000	-10.846
