NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:18
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
939	9.38000	128.454
940	9.39000	129.275
941	9.40000	130.242
942	9.41000	131.313
943	9.42000	132.464
944	9.43000	133.670
945	9.44000	134.910
946	9.45000	136.167
947	9.46000	137.419
948	9.47000	138.653
949	9.48000	139.858
950	9.49000	141.024
951	9.50000	142.144
952	9.51000	143.202
953	9.52000	144.199
954	9.53000	145.134
955	9.54000	145.996
956	9.55000	146.777
957	9.56000	147.467
958	9.57000	148.073
959	9.58000	148.601
960	9.59000	149.072
961	9.60000	149.493
962	9.61000	149.869
963	9.62000	150.203
964	9.63000	150.484
965	9.64000	150.693
966	9.65000	150.821
967	9.66000	150.863
968	9.67000	150.825
969	9.68000	150.710
970	9.69000	150.538
971	9.70000	150.312
972	9.71000	150.042
973	9.72000	149.732
974	9.73000	149.382
975	9.74000	148.991
976	9.75000	148.563
977	9.76000	148.108
978	9.77000	147.645
979	9.78000	147.188
980	9.79000	146.762
981	9.80000	146.380
982	9.81000	146.055
983	9.82000	145.779
984	9.83000	145.536
985	9.84000	145.299
986	9.85000	145.044
987	9.86000	144.751
988	9.87000	144.414
989	9.88000	144.035
990	9.89000	143.628
991	9.90000	143.207
992	9.91000	142.790
993	9.92000	142.387
994	9.93000	142.010
995	9.94000	141.665
996	9.95000	141.351
997	9.96000	141.063
998	9.97000	140.802
999	9.98000	140.567
1000	9.99000	140.359
